timestamp,open,high,low,close,volume
2025-06-17 08:00:00+00:00,599.07,599.64,598.84,599.58,20290.0
2025-06-17 08:05:00+00:00,599.61,599.77,599.56,599.69,9666.0
2025-06-17 08:10:00+00:00,599.8,599.89,599.71,599.71,21562.0
2025-06-17 08:15:00+00:00,599.58,599.64,599.43,599.5,23360.0
2025-06-17 08:20:00+00:00,599.52,599.59,599.46,599.59,9598.0
2025-06-17 08:25:00+00:00,599.6,599.86,599.59,599.83,12790.0
2025-06-17 08:30:00+00:00,599.67,599.67,599.51,599.52,4692.0
2025-06-17 08:35:00+00:00,599.5,599.87,599.5,599.72,8417.0
2025-06-17 08:40:00+00:00,599.47,599.52,599.41,599.41,2951.0
2025-06-17 08:45:00+00:00,599.64,599.76,599.64,599.76,1360.0
2025-06-17 08:50:00+00:00,599.77,600.24,599.48,599.5,25380.0
2025-06-17 08:55:00+00:00,599.57,599.83,599.05,599.83,57060.0
2025-06-17 09:00:00+00:00,599.99,600.24,599.91,599.91,10961.0
2025-06-17 09:05:00+00:00,599.84,599.84,599.7,599.75,2133.0
2025-06-17 09:10:00+00:00,599.64,599.64,599.25,599.42,3460.0
2025-06-17 09:15:00+00:00,599.34,599.34,599.29,599.33,3554.0
2025-06-17 09:20:00+00:00,599.25,599.5,598.77,599.29,34474.0
2025-06-17 09:25:00+00:00,599.06,599.28,599.0,599.25,6293.0
2025-06-17 09:30:00+00:00,599.2,599.26,599.0,599.0,447.0
2025-06-17 09:35:00+00:00,598.98,599.15,598.93,599.0,4994.0
2025-06-17 09:40:00+00:00,599.22,599.34,599.17,599.34,2850.0
2025-06-17 09:45:00+00:00,599.3,599.39,599.29,599.38,3034.0
2025-06-17 09:50:00+00:00,599.42,599.44,598.9,598.97,3184.0
2025-06-17 09:55:00+00:00,599.01,599.22,598.95,599.22,6809.0
2025-06-17 10:00:00+00:00,599.24,599.4,599.2,599.4,5319.0
2025-06-17 10:05:00+00:00,599.37,599.43,599.36,599.43,5634.0
2025-06-17 10:10:00+00:00,599.48,599.65,599.41,599.46,10773.0
2025-06-17 10:15:00+00:00,599.41,599.41,599.09,599.18,15860.0
2025-06-17 10:20:00+00:00,599.22,599.34,599.21,599.23,7516.0
2025-06-17 10:25:00+00:00,599.18,599.23,599.11,599.12,4720.0
