timestamp,open,high,low,close,volume
2024-06-17 08:00:00+00:00,212.62,214.61,212.62,214.34,144781.0
2024-06-17 08:30:00+00:00,214.41,214.61,214.0,214.04,58488.0
2024-06-17 09:00:00+00:00,214.01,214.02,213.7,214.0,26957.0
2024-06-17 09:30:00+00:00,214.0,214.0,213.8,213.8,20238.0
2024-06-17 10:00:00+00:00,213.9,214.09,213.65,213.65,41071.0
2024-06-17 10:30:00+00:00,213.71,214.16,213.71,213.89,46055.0
2024-06-17 11:00:00+00:00,213.71,214.1,213.65,213.97,69485.0
2024-06-17 11:30:00+00:00,213.95,214.03,213.69,213.92,78243.0
2024-06-17 12:00:00+00:00,213.78,214.3,212.43,214.18,361233.0
2024-06-17 12:30:00+00:00,214.1,214.29,213.61,213.82,245818.0
2024-06-17 13:00:00+00:00,213.87,213.87,213.06,213.36,297933.0
2024-06-17 13:30:00+00:00,213.37,214.8,212.72,213.55,11136864.0
2024-06-17 14:00:00+00:00,213.54,216.49,213.53,216.09,11033952.0
2024-06-17 14:30:00+00:00,216.09,217.02,215.31,216.88,6357513.0
2024-06-17 15:00:00+00:00,216.88,217.33,216.15,216.3315,5394905.0
2024-06-17 15:30:00+00:00,216.335,218.0,215.82,216.345,4743139.0
2024-06-17 16:00:00+00:00,216.34,216.8122,216.18,216.54,2863142.0
2024-06-17 16:30:00+00:00,216.54,217.27,216.13,217.074,3356926.0
2024-06-17 17:00:00+00:00,217.08,218.1,216.8,217.82,4108823.0
2024-06-17 17:30:00+00:00,217.83,218.7436,217.75,217.9399,4076036.0
2024-06-17 18:00:00+00:00,217.92,218.75,217.87,218.35,4449856.0
2024-06-17 18:30:00+00:00,218.3452,218.95,218.02,218.7066,4061196.0
2024-06-17 19:00:00+00:00,218.705,218.705,217.96,218.155,5283627.0
2024-06-17 19:30:00+00:00,218.16,218.34,215.48,216.71,11851790.0
2024-06-17 20:00:00+00:00,216.67,217.01,216.46,216.68,1854107.0
2024-06-17 20:30:00+00:00,216.5607,217.1,216.5607,216.58,292635.0
2024-06-17 21:00:00+00:00,216.58,216.9999,216.56,216.9,59311.0
2024-06-17 21:30:00+00:00,216.9,217.2,216.9,217.05,32205.0
2024-06-17 22:00:00+00:00,217.05,217.1,216.67,216.98,34488.0
2024-06-17 22:30:00+00:00,217.0,217.0,216.7412,216.82,18686.0
2024-06-17 23:00:00+00:00,216.8,216.8475,216.67,216.77,28512.0
2024-06-17 23:30:00+00:00,216.7343,216.93,216.72,216.76,47772.0
2024-06-18 08:00:00+00:00,216.81,217.5,215.0,217.0,47345.0
2024-06-18 08:30:00+00:00,216.92,217.03,216.83,216.9,13820.0
2024-06-18 09:00:00+00:00,216.96,218.36,216.93,217.81,102036.0
2024-06-18 09:30:00+00:00,217.94,218.3,217.91,218.2,28261.0
2024-06-18 10:00:00+00:00,218.17,218.27,217.91,218.09,14749.0
2024-06-18 10:30:00+00:00,218.06,218.13,217.62,217.71,18736.0
2024-06-18 11:00:00+00:00,217.77,217.99,217.38,217.88,85073.0
2024-06-18 11:30:00+00:00,217.9,218.07,217.65,217.83,55373.0
